config_id,instance,fitness,population_size,generations,mutation_rate,elitism_size,tournament_size,alpha,gamma,epsilon_start,epsilon_end
4,n00100_R01000_s002.kp,27014,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00100_R01000_s003.kp,30482,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00100_R10000_s002.kp,254083,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00100_R10000_s003.kp,302511,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00200_R01000_s002.kp,69186,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00200_R01000_s003.kp,60623,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00200_R10000_s002.kp,670025,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00200_R10000_s003.kp,620162,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00500_R01000_s002.kp,143572,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00500_R01000_s003.kp,138970,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00500_R10000_s002.kp,1431292,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
4,n00500_R10000_s003.kp,1363343,328,560,0.1845,1,4,0.3993,0.6151,0.2799,0.0178
5,n00050_R01000_s002.kp,20086,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00050_R01000_s003.kp,20276,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00050_R10000_s002.kp,204796,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00050_R10000_s003.kp,198314,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00100_R01000_s002.kp,27966,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00100_R01000_s003.kp,32296,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00100_R10000_s002.kp,286149,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00100_R10000_s003.kp,325661,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00200_R01000_s002.kp,71371,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00200_R01000_s003.kp,65088,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00200_R10000_s002.kp,721243,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00200_R10000_s003.kp,656300,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00500_R01000_s002.kp,149172,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00500_R01000_s003.kp,144908,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00500_R10000_s002.kp,1498294,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
5,n00500_R10000_s003.kp,1449713,447,539,0.1208,2,4,0.3254,0.6313,0.1469,0.0193
6,n00050_R01000_s002.kp,20802,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00050_R01000_s003.kp,19768,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00050_R10000_s002.kp,203728,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00050_R10000_s003.kp,200310,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00100_R01000_s002.kp,28902,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00100_R01000_s003.kp,33283,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00100_R10000_s002.kp,284774,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00100_R10000_s003.kp,325157,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00200_R01000_s002.kp,71770,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00200_R01000_s003.kp,64169,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00200_R10000_s002.kp,697693,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00200_R10000_s003.kp,636620,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00500_R01000_s002.kp,153931,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00500_R01000_s003.kp,145922,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00500_R10000_s002.kp,1486752,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
6,n00500_R10000_s003.kp,1436888,512,426,0.1334,3,5,0.3338,0.5549,0.1963,0.0341
7,n00050_R01000_s002.kp,20791,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00050_R01000_s003.kp,19708,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00050_R10000_s002.kp,198192,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00050_R10000_s003.kp,202205,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00100_R01000_s002.kp,28054,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00100_R01000_s003.kp,31931,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00100_R10000_s002.kp,276974,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00100_R10000_s003.kp,312975,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00200_R01000_s002.kp,70493,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00200_R01000_s003.kp,63458,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00200_R10000_s002.kp,693128,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00200_R10000_s003.kp,642083,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00500_R01000_s002.kp,150168,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00500_R01000_s003.kp,142664,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00500_R10000_s002.kp,1486534,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
7,n00500_R10000_s003.kp,1424880,463,440,0.1252,1,5,0.1685,0.5545,0.2186,0.0727
8,n00050_R01000_s002.kp,20501,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00050_R01000_s003.kp,20572,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00050_R10000_s002.kp,201248,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00050_R10000_s003.kp,195941,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00100_R01000_s002.kp,27435,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00100_R01000_s003.kp,31102,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00100_R10000_s002.kp,286620,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00100_R10000_s003.kp,313928,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00200_R01000_s002.kp,67348,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00200_R01000_s003.kp,62640,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00200_R10000_s002.kp,695253,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00200_R10000_s003.kp,635736,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
8,n00500_R01000_s002.kp,147955,404,571,0.1514,1,5,0.2457,0.7,0.3975,0.0532
